Best Epoch: 13
Best Val Dice: 0.2986

Epoch	Train Loss	Val Loss	Train Dice	Val Dice
1	0.9758	0.7312	0.0481	0.0172
2	0.9296	0.7169	0.0192	0.0270
3	0.9161	0.7147	0.0692	0.0079
4	0.9076	0.6986	0.0317	0.0158
5	0.9056	0.7186	0.0296	0.0065
6	0.9100	0.7012	0.0279	0.0134
7	0.8968	0.6950	0.0448	0.0438
8	0.8945	0.7016	0.0414	0.0142
9	0.8901	0.6926	0.0758	0.0304
10	0.8919	0.6889	0.0518	0.0279
11	0.8915	0.6859	0.0572	0.1035
12	0.8873	0.6867	0.0688	0.0281
13	0.8784	0.6963	0.0633	0.2986
